Shift type,Part-time/Full-time multiplier,Casual multiplier,Comments,,Allowances,
Weekday span and core penalties,,,,,Allowances,Rate
"Ordinary hours (Mon–Fri, 6am–8pm)",1,1.25,,,Broken shift allowance - 1 unpaid break,$20.82 per broken shift
"Afternoon shift (finishes after 8pm, before midnight)",1.125,1.375,,,Broken shift allowance - 2 unpaid breaks,$27.56 per broken shift
Night shift (finishes after midnight or starts before 6am),1.15,1.4,,,First aid allowance - full-time,$20.46 per week
Weekends and public holidays ,,,,,First aid allowance - part-time or casual,$0.54 per hour up to a maximum of $20.46 per week
Saturday,1.5,1.75,"Any shift worked on a Saturday, starting at 12:AM Saturday night/Sunday morning",,Hot work allowance - 40°C-46°C (employed at current workplace before 8 August 1991),$0.61 per hour
Sunday,2,2.25,"Any shift worked on a Saturday, starting at 12:AM Friday night/Saturday morning",,Hot work allowance - over 46° (employed at current workplace before 8 August 1991),$0.73 per hour
Public holiday,2.5,2.75,Any shift worked between 12 midnight on the night prior to the public holiday and 12 midnight of the public holiday,,Laundry allowance,$0.32 per shift up to a maximum of $1.49 per week
Remote work,,,,,Laundry allowance - not a uniform,$0.32 per shift
Daytime ,1.25,1.5,100*1.75,,Meal allowance,16.81
Evening Shift ,1.375,1.625,,,On call allowance - any 24 hour period or part thereof when on call between the time of finishing ordinary duty on Monday to the time of finishing ordinary duty on Friday,$24.50
Night shift ,1.4,1.65,,,"On call allowance - any other 24 hour period or public holiday, or part thereof",48.51
Saturday—within span (6am–8pm),1.75,2,,,Sleepover allowance,$60.02 for each sleepover
Saturday—first 2 hrs outside span,1.75,2,,,Special or protective clothing reimbursement,"reimbursement for any rubber gloves, special clothing or safety equipment the employee is required to provide"
Saturday—after 2 hrs outside span,1.75,2,,,Uniform allowance,$1.23 per shift up to a maximum of $6.24 per week
Sunday,2.25,2.5,,,Repair and replacement of clothing reimbursement - not a uniform,reimbursement for the reasonable cost incurred in repairing or replacing the clothing with a substitute item
Public holiday,2.75,3,,,Telephone reimbursement - maintain telephone (on call),reimbursement for rental charges
More than 10 hours a day—first 2 hrs,1.75,2,,,Telephone reimbursement - install and maintain telephone (on call),reimbursement for the cost of installation and rental charges
More than 10 hours a day—after 2 hrs,2.25,2.5,,,Overnight away from home reimbursement,reimbursement for the cost of reasonable accommodation and meals
Weekday Overtime (Mon–Sat),,,,,Travelling expenses reimbursement,"reimbursement for the agreed cost of reasonable fares, meals and accommodation expenses"
"First block (first 3 hrs FT, first 2 hrs PT/disability services)",1.5,1.75,,,Vehicle allowance,$0.92 per km
"After block (after 3 hrs FT, after 2 hrs PT/disability services)",2,2.25,,,,
Public holiday overtime,2.5,2.75,,,,
Less than 10-hour break after working overtime,2,2.25,,,,
Allowances,,,,,,
Broken shifts ,,,,,,
Working beyond a 12-hour span 1 Break,$20.82 per broken shift,Same,"A Broken Shift Allowance of $20.82 is payable for a shift with a single break. For each additional break occurring within the same day, an additional payment of $27.56 per break will be applied.",,,
Broken shift allowance - 2 unpaid breaks,$27.56 per broken shift,Same,,,,
Laundry allowance,,,,,,
Laundry allowance,$0.32 per shift up to a maximum of $1.49 per week,,,,,
Laundry allowance - not a uniform,$0.32 per shift,,,,,
Meal allowance,,,,,,
Meal allowance,$16.81,Same,"16.81when working overtime for more than an hour,",,,
Sleepover allowance,,,,,,
Sleepover allowance,$60.02 for each sleepover,Same,A sleepover shift includes a continuous rest period of 8 hours. The sleepover and the hours worked before and/or after the sleepover are counted as one continuous shift. a minimum of 4 hours pay before or after the sleepover period.,,,
Uniform allowance,,,,,,
Uniform allowance,$1.23 per shift up to a maximum of $6.24 per week,,,,,
KM Allowance,,,,,,
Vehicle allowance,$0.92 per km,,Only applies when using private vehicle during shift,,,
,,,,,,
RULES,,,,,,
Maximum 12 hours shift,,,,,,
Overtime after 10 hours,,,,,,
Maximum 38 hours in a week or 76 hours in a fortnight,,,,,,
Minimum 10-hour break between shifts.,,,,,,
Minimum Engagement: 3 hours for Social/Community services,,,,,,
Minimum Engagement: 2 hours for Home Care/Disability workers.,,,,,,
Rosters: Must be given two weeks in advance; changes need 7 days' notice (exceptions for emergencies/agreement).,,,,,,
Sleep Disturbance is minimum 1 hour paid at relevant overtime rate,,,,,,
