"id","date","holiday_name","information","more_information","tenant_id","created_at","updated_at","deleted_at","creator_id"
"002a73c9-aa6c-436c-9f96-8fd883ea3e35","2021-06-14 00:00:00","Queen's Birthday","Celebrated on second Monday in June except in Western Australia and Queensland.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"00dc6956-8e88-4c5a-89c4-ddeb16c6bf62","2026-06-02 00:00:00","Reconciliation Day","","https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"02e37c8c-7ccd-4ef0-bff2-b51424a6a695","2026-04-17 00:00:00","hdfhdfh","dfhdfh",NULL,"TENANT-20260116-0001","2026-04-08 10:10:33.338","2026-04-08 10:10:33.338",NULL,"66556575-dda4-4843-a5ba-aac44284dc69"
"05d6ad58-b4c8-439c-9610-c0fe1640aa23","2022-05-02 00:00:00","Labour Day","Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.","https://www.qld.gov.au/recreation/travel/holidays/public","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"0a17f71e-ecfd-4048-bcc9-880edfe5fb58","2022-01-03 00:00:00","New Year's Day (additional day)","As 1 January 2022 falls on a Saturday in 2022, the following Monday is observed as an additional public holiday.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"0a2ce142-898a-4175-a0e0-8a9bd2257aa8","2022-03-14 00:00:00","Labour Day","Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.","https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2022","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"0a34d538-3fa8-4ba9-b9c8-a9ddefbb7433","2024-03-11 00:00:00","Eight Hours Day","Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.","https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"0ab4615d-65bb-4faf-9dd3-dbb33e4f2cd8","2022-06-06 00:00:00","Western Australia Day","Held on the first Monday in June each year and is a state holiday only.","https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"0df33b59-0837-4ec2-b1e4-866b8173fba0","2023-05-01 00:00:00","May Day","Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.","https://nt.gov.au/nt-public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"0f7cfdec-65e2-49bc-aea2-1e73d30ef225","2023-06-12 00:00:00","Kingâ€™s Birthday","Celebrated on second Monday in June except in Western Australia and Queensland.","https://www.safework.sa.gov.au/resources/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"0f8c12d7-81ae-4e70-9a5c-e8f6c29264e1","2023-01-02 00:00:00","New Year's Day (observed)","As 1 January 2023 falls on a Sunday in 2023, the following Monday is observed as an additional public holiday.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"0fc8d8d1-f51b-43df-b35d-6db33f5419db","2026-04-19 00:00:00","The day after Good Friday","","https://www.qld.gov.au/recreation/travel/holidays/public","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"1029fe85-3580-422c-96d3-eb99fedad528","2026-07-11 00:00:00","Tennant Creek Show Day","Regional holiday - to find out which show day applies to your area, check the map of NT show day regions.","https://www.nt.gov.au/nt-public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"11771e29-6d16-4006-824d-6ef258161a1e","2024-12-26 00:00:00","Boxing Day","Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"13fd1005-d791-49fb-8ce8-d32f2806a90d","2023-04-09 00:00:00","Easter Sunday","Public Holiday as part of Easter.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
